성취기준코드,학년군,교과,영역,성취기준,성취수준A,성취수준B,성취수준C,탐구 활동,원문쪽
[2국01-01],초등 1~2학년군,국어,듣기·말하기,중요한 내용이나 일이 일어난 순서를 고려하며 듣고 말한다.,"중요한 내용이나 일이 일어난 순서를 정확하게 파악하며 듣고, 중요한 내용이나 일이 일어난 순서가 명확히 드러나게 말할 수 있다.","중요한 내용이나 일이 일어난 순서를 파악하며 듣고, 중요한 내용이나 일이 일어난 순서가 드러나게 말할 수 있다.","중요한 내용이나 일이 일어난 순서를 부분적으로 파악하며 듣고, 중요한 내용이나 일이 일어난 순서가 일부 드러나게 말한다.",,21
[2국01-02],초등 1~2학년군,국어,듣기·말하기,바르고 고운 말로 서로의 감정을 나누며 듣고 말한다.,"감정과 관련된 다양한 표현을 알고, 서로의 감정을 적극적으로 공유하는 과정에서 바르고 고운 말을 사용하여 듣고 말할 수 있다.","감정과 관련된 표현을 알고, 서로의 감정을 공유하는 과정에서 바르고 고운 말을 사용하여 듣고 말할 수 있다.","감정과 관련된 표현을 일부 알고, 서로의 감정을 공유하는 과정에서 바르고 고운 말을 부분적으로 사용하여 듣고 말한다.",,21
[2국01-03],초등 1~2학년군,국어,듣기·말하기,상대의 말을 집중하여 듣고 말차례를 지키며 대화한다.,"상대의 말에 주의를 집중하여 정확하게 듣고, 말차례를 지키며 적극적으로 대화할 수 있다.","상대의 말에 주의를 집중하여 듣고, 말차례를 지키며 대화할 수 있다.","상대의 말을 듣고, 말차례를 부분적으로 지키며 대화한다.",,21
[2국01-04],초등 1~2학년군,국어,듣기·말하기,자신의 경험이나 생각을 바른 자세로 발표한다.,자신의 경험이나 생각을 풍부하게 떠올려 바른 자세로 자신 있게 발표할 수 있다.,자신의 경험이나 생각을 떠올려 바른 자세로 발표할 수 있다.,"자신의 경험이나 생각을 부분적으로 떠올리고, 다른 사람 앞에서 말한다.",,21
[2국01-05],초등 1~2학년군,국어,듣기·말하기,듣기와 말하기에 관심과 흥미를 가진다.,"듣기·말하기의 중요성을 정확히 인식하고, 듣기·말하기에 적극적으로 참여하며 관심과 흥미를 가진다.","듣기·말하기의 중요성을 인식하고, 듣기·말하기에 관심과 흥미를 가진다.",듣기·말하기에 관심과 흥미를 일부 가진다.,,21
[2국02-01],초등 1~2학년군,국어,읽기,"글자, 단어, 문장, 짧은 글을 정확하게 소리 내어 읽는다.","글자, 단어, 문장, 짧은 글을 바르고 정확하게 발음하고 적절한 속도로 소리 내어 읽을 수 있다.","글자, 단어, 문장, 짧은 글을 정확하게 발음하고 소리 내어 읽을 수 있다.","글자, 단어, 문장, 짧은 글을 부분적으로 정확하게 발음하고 소리 내어 읽는다.",,22
[2국02-02],초등 1~2학년군,국어,읽기,의미가 잘 드러나도록 문장과 짧은 글을 알맞게 띄어 읽는다.,글에 의미 단위가 있음을 인식하며 의미가 잘 드러나도록 문장과 짧은 글을 알맞게 띄어 읽을 수 있다.,글의 의미가 잘 드러나도록 문장과 짧은 글을 알맞게 띄어 읽을 수 있다.,문장과 짧은 글을 부분적으로 알맞게 띄어 읽는다.,,22
[2국02-03],초등 1~2학년군,국어,읽기,글을 읽고 중심 내용을 확인한다.,다양한 유형의 글을 읽고 중심 내용을 정확하게 확인할 수 있다.,글을 읽고 중심 내용을 정확하게 확인할 수 있다.,글을 읽고 중심 내용을 부분적으로 확인한다.,,22
[2국02-04],초등 1~2학년군,국어,읽기,인물의 마음이나 생각을 짐작하고 이를 자신과 비교하며 글을 읽는다.,인물의 마음이나 생각을 정확하게 짐작하고 이를 자신의 관점과 능동적으로 비교하며 글을 읽을 수 있다.,인물의 마음이나 생각을 짐작하고 이를 자신의 관점과 비교하며 글을 읽을 수 있다.,인물의 마음이나 생각을 부분적으로 짐작하고 이를 자신의 관점과 일부 비교하며 글을 읽는다.,,22
[2국02-05],초등 1~2학년군,국어,읽기,읽기에 흥미를 가지고 즐겨 읽는 태도를 지닌다.,읽기에 흥미를 가지고 읽기 경험을 긍정적으로 수용하며 즐겨 읽는 태도를 지닌다.,읽기에 흥미를 가지고 긍정적으로 즐겨 읽는 태도를 지닌다.,읽기에 일부 흥미를 보인다.,,22
[2국03-01],초등 1~2학년군,국어,쓰기,글자와 단어를 바르게 쓴다.,바른 자세로 글자와 단어를 바르고 정확하게 쓸 수 있다.,글자와 단어를 바르고 정확하게 쓸 수 있다.,글자와 간단한 단어를 쓴다.,,22
[2국03-02],초등 1~2학년군,국어,쓰기,쓰기에 흥미를 가지며 자신의 생각이나 느낌을 문장으로 표현한다.,쓰기에 흥미를 가지며 자신의 생각과 느낌을 다양한 문장으로 다채롭게 표현할 수 있다.,쓰기에 흥미를 가지며 자신의 생각이나 느낌을 다양한 문장으로 표현할 수 있다.,쓰기에 일부 흥미를 가지며 자신의 생각이나 느낌의 일부를 문장으로 표현한다.,,22
[2국03-03],초등 1~2학년군,국어,쓰기,주변 소재에 대해 소개하는 글을 쓴다.,주변 소재에 대해 쓸 내용을 풍부하게 생성하고 다양하게 표현하며 소개하는 글을 쓸 수 있다.,주변 소재에 대해 쓸 내용을 생성하여 소개하는 글을 쓸 수 있다.,주변 소재에 대해 부분적인 수준에서 소개하는 글을 쓴다.,,22
[2국03-04],초등 1~2학년군,국어,쓰기,"겪은 일을 표현하는 글을 자유롭게 쓰고, 쓴 글을 함께 읽고 생각이나 느낌을 나눈다.","겪은 일에 대해 쓸 내용을 다양하게 생성하여 자유롭게 쓰고, 쓴 글을 함께 읽고 서로의 생각과 느낌을 적극적으로 나눌 수 있다.","겪은 일을 표현하는 글을 자유롭게 쓰고, 쓴 글을 함께 읽고 자신의 생각이나 느낌을 표현하거나 타인의 생각이나 느낌을 받아들일 수 있다.","자신이 겪은 일을 글로 쓰고, 다른 사람이 쓴 글을 읽고 자신의 생각이나 느낌의 일부를 표현한다.",,23
[2국04-01],초등 1~2학년군,국어,문법,한글 자모의 이름과 소릿값을 알고 정확하게 발음하고 쓴다.,한글 자모의 이름과 소릿값을 바르게 알고 한글 자모를 소릿값대로 정확하게 발음하고 쓸 수 있다.,한글 자모의 이름과 소릿값을 알고 한글 자모를 소릿값대로 발음하고 쓸 수 있다.,한글 자모의 이름과 소릿값의 일부를 알고 발음하며 쓴다.,,23
[2국04-02],초등 1~2학년군,국어,문법,소리와 표기가 다를 수 있음을 알고 단어를 바르게 읽고 쓴다.,소리와 표기가 같거나 다를 수 있음을 정확하게 알고 단어를 바르게 읽고 쓸 수 있다.,소리와 표기가 같거나 다를 수 있음을 알고 단어를 읽고 쓸 수 있다.,소리와 표기가 같거나 다를 수 있음을 부분적인 수준에서 알고 단어를 읽고 쓴다.,,23
[2국04-03],초등 1~2학년군,국어,문법,문장과 문장 부호를 알맞게 쓰고 한글에 호기심을 가진다.,"문장 부호를 정확하게 알며, 문장과 문장 부호를 적절하게 쓰고 한글에 지속적인 호기심을 가진다.","문장 부호를 알며, 문장과 문장 부호를 적절하게 쓰고 한글에 호기심을 가진다.","문장 부호를 일부 알며, 문장과 문장 부호를 쓰고 한글에 호기심을 가진다.",,23
[2국05-01],초등 1~2학년군,국어,문학,"말놀이, 낭송 등을 통해 말의 재미와 즐거움을 느낀다.",말놀이에 적극적으로 참여하고 분위기를 살려 작품을 낭송하며 말의 재미와 즐거움을 느낄 수 있다.,말놀이에 참여하고 작품을 낭송하며 말의 재미와 즐거움을 느낄 수 있다.,간단한 말놀이나 작품 낭송에서 말의 재미를 느낀다.,,23
[2국05-02],초등 1~2학년군,국어,문학,작품을 듣거나 읽으면서 느끼거나 생각한 점을 말한다.,작품을 듣거나 읽으면서 느끼거나 생각한 점을 구체적으로 말하며 감상을 다른 사람과 즐겨 나눌 수 있다.,작품을 듣거나 읽으면서 느끼거나 생각한 점을 말하며 감상을 다른 사람과 나눌 수 있다.,작품을 듣거나 읽으면서 느끼거나 생각한 점을 간단한 말로 표현한다.,,23
[2국05-03],초등 1~2학년군,국어,문학,"작품 속 인물의 모습, 행동, 마음을 상상하여 시, 노래, 이야기, 그림 등으로 표현한다.","작품 속 인물의 모습, 행동, 마음을 구체적으로 상상하여 시, 노래, 이야기, 그림 등 다양한 방식으로 창의적으로 표현할 수 있다.","작품 속 인물의 모습, 행동, 마음을 상상하여 시, 노래, 이야기, 그림 등으로 표현할 수 있다.","작품 속 인물의 모습, 행동, 마음을 일부 상상하여 시, 노래, 이야기, 그림 등으로 간단하게 표현한다.",,23
[2국05-04],초등 1~2학년군,국어,문학,"시나 노래, 이야기에 흥미를 가진다.","다양한 시나 노래, 이야기를 스스로 찾아 감상하며 흥미를 가진다.","다양한 시나 노래, 이야기를 감상하는 데에 흥미를 가진다.","시나 노래, 이야기를 듣거나 읽는 데 관심을 가진다.",,24
